pn;Vzmin, IZ = 5 mA;Vzmax, IZ = 5 mA;Rzj, IZ = 5 mA;Rzj, IZ = 1 mA;αVZ [10-4 /°C], IR = 100 nA;VR [V];IZmax [mA], TA = 25°C
ZMM1;0.71;0.82;< 8;< 50;-26...-23;-;400
ZMM2.4;2.28;2.56;< 85;< 600;-9...-6;1 (50 μA);195
ZMM2.7;2.5;2.9;< 85;< 600;-9...-6;1 (10 μA);172
ZMM3.0;2.8;3.2;< 85;< 600;-8...-5;1 (4 μA);156
ZMM3.3;3.1;3.5;< 85;< 550;-8...-5;1 (2 μA);143
ZMM3.6;3.4;3.8;< 85;< 550;-8...-5;1 (2 μA);132
ZMM3.9;3.6;4.2;< 85;< 550;-8...-5;1 (2 μA);119
ZMM4.3;4.0;4.6;< 75;< 500;-6...-3;1 (1 μA);109
ZMM4.7;4.4;5.0;< 60;< 500;-5...+2;1 (0.5 μA);100
ZMM5.1;4.8;5.4;< 35;< 500;-2...+2;1;93
ZMM5.6;5.2;6.0;< 25;< 450;-5...+5;1;83
ZMM6.2;5.8;6.6;< 10;< 200;+3...+6;2;76
ZMM6.8;6.4;7.2;< 8;< 150;+3...+7;3;69
ZMM7.5;7.0;7.9;< 7;< 50;+3...+7;5;63
ZMM8.2;7.7;8.7;< 7;< 50;+3...+8;6;57
ZMM9.1;8.5;9.6;< 10;< 50;+3...+9;7;52
ZMM10;9.4;10.6;< 15;< 70;+3...+10;7;47
ZMM11;10.4;11.6;< 20;< 70;+3...+11;8;43
ZMM12;11.4;12.7;< 20;< 90;+3...+11;9;39
ZMM13;12.4;14.1;< 26;< 110;+3...+11;10;35
ZMM15;13.8;15.6;< 30;< 110;+3...+11;11;32
ZMM16;15.3;17.1;< 40;< 170;+3...+11;12;29
ZMM18;16.8;19.1;< 50;< 170;+3...+11;13;26
ZMM20;18.8;21.2;< 55;< 220;+3...+11;15;24
ZMM22;20.8;23.3;< 55;< 220;+4...+12;16;21
ZMM24;22.8;25.6;< 70;< 220;+4...+12;18;20
ZMM27;25.1;28.9;< 80;< 250;+4...+12;20;17
ZMM30;28;32;< 80;< 250;+4...+12;22;16
ZMM33;31;35;< 80;< 250;+4...+12;24;14
ZMM36;34;38;< 90;< 250;+4...+12;27;13
